__time,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2]
1778751617.116007,0.008790532,0.001640519,-0.000251855,0.000015258,0.000015223,0.000579690,1.000000000,1.026738524,0.039170232,-2.516559124,0.011400749,0.011402975,0.027169771,0.999998689,-0.001595200,0.000319842,0.000100515,0.000000000,12.000000000,1778751617044731.000000000,1778751617040731.000000000,-0.038717967,-0.032501787,0.018597025,1.000000000,0.003781654,0.003790365,0.002899915
1778751617.129279,0.009391360,0.001571668,-0.000834945,0.000015306,0.000015270,0.000579935,1.000000000,1.026415706,0.038755231,-2.516452312,0.011526971,0.011529356,0.027281335,0.999998868,-0.001520165,0.000329950,0.000096946,0.000000000,12.000000000,1778751617060731.000000000,1778751617056731.000000000,-0.038538504,-0.032936186,0.018331312,1.000000000,0.003835166,0.003843754,0.002914130
1778751617.135423,0.009319657,0.001747225,0.000373255,0.000015330,0.000015294,0.000580058,1.000000000,1.026250482,0.038542800,-2.516395569,0.011590962,0.011593428,0.027367594,0.999998868,-0.001482690,0.000336505,0.000098517,0.000000000,12.000000000,1778751617068731.000000000,1778751617064731.000000000,-0.038446747,-0.033141188,0.018219227,1.000000000,0.003862103,0.003870630,0.002922403
1778751617.150096,0.008338680,0.000911848,0.000127198,0.000015275,0.000015239,0.000580266,1.000000000,1.025931001,0.038131990,-2.516324759,0.011455275,0.011457586,0.027224196,0.999998987,-0.001412162,0.000348194,0.000099319,0.000000000,12.000000000,1778751617084731.000000000,1778751617080731.000000000,-0.038257793,-0.033419915,0.018052809,1.000000000,0.003804437,0.003812412,0.002906212
1778751617.156316,0.007729992,0.001958447,-0.000138982,0.000015299,0.000015263,0.000580389,1.000000000,1.025767326,0.037922241,-2.516284704,0.011518599,0.011520988,0.027310152,0.999998987,-0.001380960,0.000355847,0.000098717,0.000000000,12.000000000,1778751617092731.000000000,1778751617088731.000000000,-0.038222875,-0.033564895,0.017967682,1.000000000,0.003831234,0.003839150,0.002914483
1778751617.167702,0.007291837,0.001116705,-0.000499506,0.000015324,0.000015286,0.000580512,1.000000000,1.025601029,0.037709452,-2.516241789,0.011582509,0.011584978,0.027396485,0.999999106,-0.001351520,0.000360199,0.000096668,0.000000000,12.000000000,1778751617100731.000000000,1778751617096731.000000000,-0.038107675,-0.033733945,0.017893078,1.000000000,0.003858159,0.003866017,0.002922756
1778751617.176690,0.007823976,0.000728543,0.000465643,0.000015245,0.000015207,0.000580600,1.000000000,1.025450826,0.037499193,-2.516228914,0.011384480,0.011386720,0.027107332,0.999999106,-0.001319964,0.000363064,0.000098474,0.000000000,12.000000000,1778751617108731.000000000,1778751617104731.000000000,-0.038005654,-0.033896197,0.017768869,1.000000000,0.003774030,0.003781438,0.002895968
1778751617.188572,0.008654708,0.001018535,-0.000475266,0.000015269,0.000015231,0.000580723,1.000000000,1.025297642,0.037286073,-2.516212702,0.011447145,0.011449460,0.027192796,0.999999106,-0.001285025,0.000367045,0.000096482,0.000000000,12.000000000,1778751617116731.000000000,1778751617112731.000000000,-0.037920792,-0.033992331,0.017687446,1.000000000,0.003800679,0.003808039,0.002904239
1778751617.195670,0.007329058,0.000170620,-0.000215699,0.000015293,0.000015255,0.000580846,1.000000000,1.025141835,0.037070513,-2.516193151,0.011510392,0.011512782,0.027278638,0.999999225,-0.001255399,0.000367692,0.000095527,0.000000000,12.000000000,1778751617124731.000000000,1778751617120731.000000000,-0.037868652,-0.034079716,0.017549478,1.000000000,0.003827464,0.003834769,0.002912510
1778751617.207534,0.007917998,0.001359438,-0.000038789,0.000015239,0.000015200,0.000581059,1.000000000,1.024844170,0.036630213,-2.516170263,0.011376585,0.011378829,0.027135963,0.999999225,-0.001194909,0.000375907,0.000098000,0.000000000,12.000000000,1778751617140731.000000000,1778751617136731.000000000,-0.037760016,-0.034289561,0.017372606,1.000000000,0.003770450,0.003777265,0.002896354
1778751617.215772,0.007985441,0.000679735,-0.000661536,0.000015263,0.000015224,0.000581182,1.000000000,1.024702191,0.036405399,-2.516166687,0.011439176,0.011441493,0.027221503,0.999999344,-0.001162703,0.000378530,0.000095296,0.000000000,12.000000000,1778751617148731.000000000,1778751617144731.000000000,-0.037710309,-0.034382332,0.017245650,1.000000000,0.003797086,0.003803852,0.002904625
1778751617.227719,0.007938437,-0.001847643,-0.000189839,0.000015287,0.000015248,0.000581305,1.000000000,1.024556994,0.036178127,-2.516149044,0.011502349,0.011504740,0.027247185,0.999999344,-0.001130695,0.000371090,0.000094487,0.000000000,12.000000000,1778751617156731.000000000,1778751617152731.000000000,-0.037640784,-0.034509890,0.017151918,1.000000000,0.003823837,0.003830556,0.002910557
1778751617.235519,0.007852454,-0.001371769,-0.000387896,0.000015311,0.000015272,0.000581428,1.000000000,1.024408698,0.035948377,-2.516128302,0.011566107,0.011568572,0.027333291,0.999999344,-0.001099043,0.000365593,0.000092880,0.000000000,12.000000000,1778751617164731.000000000,1778751617160731.000000000,-0.037564412,-0.034639202,0.017054398,1.000000000,0.003850733,0.003857407,0.002918829
1778751617.248468,0.006341657,0.000340295,0.000072973,0.000015258,0.000015217,0.000581643,1.000000000,1.024145603,0.035454746,-2.516129971,0.011431366,0.011433683,0.027190460,0.999999464,-0.001044601,0.000361642,0.000092695,0.000000000,12.000000000,1778751617180731.000000000,1778751617176731.000000000,-0.037355155,-0.034981780,0.016980410,1.000000000,0.003793612,0.003799837,0.002902725
1778751617.255513,0.006134403,-0.000671891,-0.000290872,0.000015282,0.000015241,0.000581766,1.000000000,1.024009466,0.035204444,-2.516124487,0.011494467,0.011496856,0.027276266,0.999999464,-0.001019987,0.000358817,0.000091592,0.000000000,12.000000000,1778751617188731.000000000,1778751617184731.000000000,-0.037226435,-0.035119675,0.016943045,1.000000000,0.003820339,0.003826523,0.002910996
1778751617.267416,0.006570565,-0.001112198,-0.000440495,0.000015306,0.000015264,0.000581889,1.000000000,1.023870587,0.034951765,-2.516115904,0.011558153,0.011560613,0.027362451,0.999999464,-0.000993639,0.000354256,0.000089891,0.000000000,12.000000000,1778751617196731.000000000,1778751617192731.000000000,-0.037134089,-0.035284620,0.016809426,1.000000000,0.003847186,0.003853328,0.002919268
1778751617.276566,0.007722486,-0.000706334,-0.000034675,0.000015228,0.000015186,0.000581983,1.000000000,1.023752093,0.034695968,-2.516134977,0.011361260,0.011363508,0.027074153,0.999999464,-0.000962694,0.000351339,0.000089813,0.000000000,12.000000000,1778751617204731.000000000,1778751617200731.000000000,-0.037052777,-0.035436459,0.016726434,1.000000000,0.003763652,0.003769414,0.002892574
1778751617.287612,0.007775330,-0.001569205,-0.000689924,0.000015276,0.000015234,0.000582230,1.000000000,1.023504972,0.034177918,-2.516160727,0.011486742,0.011489127,0.027245168,0.999999583,-0.000902833,0.000338277,0.000088395,0.000000000,12.000000000,1778751617220731.000000000,1778751617216731.000000000,-0.036850020,-0.035669625,0.016599655,1.000000000,0.003816961,0.003822633,0.002909115
1778751617.295505,0.007713507,-0.001598559,-0.001308738,0.000015300,0.000015258,0.000582353,1.000000000,1.023376703,0.033916295,-2.516167402,0.011550358,0.011552812,0.027331240,0.999999583,-0.000871938,0.000331566,0.000083292,0.000000000,12.000000000,1778751617228731.000000000,1778751617224731.000000000,-0.036756277,-0.035737935,0.016624933,1.000000000,0.003843783,0.003849411,0.002917387
1778751617.307919,0.007333426,-0.001161440,-0.000447422,0.000015223,0.000015180,0.000582449,1.000000000,1.023265481,0.033658102,-2.516199589,0.011353824,0.011356071,0.027103042,0.999999583,-0.000842573,0.000326616,0.000081636,0.000000000,12.000000000,1778751617236731.000000000,1778751617232731.000000000,-0.036649514,-0.035797145,0.016540026,1.000000000,0.003760417,0.003765699,0.002893043
1778751617.315817,0.007049884,-0.001050582,-0.000712693,0.000015247,0.000015203,0.000582572,1.000000000,1.023150682,0.033398427,-2.516227484,0.011416208,0.011418520,0.027188439,0.999999583,-0.000814294,0.000321843,0.000078975,0.000000000,12.000000000,1778751617244731.000000000,1778751617240731.000000000,-0.036581509,-0.035847735,0.016447298,1.000000000,0.003786980,0.003792225,0.002901313
1778751617.328332,0.006683126,-0.000675584,-0.000753969,0.000015295,0.000015251,0.000582820,1.000000000,1.022911429,0.032874480,-2.516334295,0.011542719,0.011545165,0.027300086,0.999999702,-0.000760094,0.000318840,0.000073417,0.000000000,12.000000000,1778751617260731.000000000,1778751617256731.000000000,-0.036358587,-0.036008935,0.016329240,1.000000000,0.003840484,0.003845634,0.002915523
1778751617.335758,0.006479821,-0.000820710,-0.001724415,0.000015218,0.000015173,0.000582917,1.000000000,1.022792339,0.032622334,-2.516404867,0.011346536,0.011348780,0.027072512,0.999999702,-0.000734133,0.000314990,0.000066730,0.000000000,12.000000000,1778751617268731.000000000,1778751617264731.000000000,-0.036211211,-0.036054067,0.016280316,1.000000000,0.003757288,0.003762122,0.002891232
1778751617.353269,0.007231107,-0.000876954,-0.000199599,0.000015242,0.000015197,0.000583041,1.000000000,1.022670865,0.032368455,-2.516469955,0.011408854,0.011411163,0.027157800,0.999999702,-0.000705039,0.000310813,0.000066123,0.000000000,12.000000000,1778751617276731.000000000,1778751617272731.000000000,-0.036031824,-0.036160622,0.016242508,1.000000000,0.003783844,0.003788641,0.002899501
1778751617.356532,0.006273650,-0.001347791,-0.000926328,0.000015266,0.000015221,0.000583165,1.000000000,1.022546411,0.032112271,-2.516528845,0.011471752,0.011474125,0.027243467,0.999999702,-0.000679789,0.000304750,0.000062621,0.000000000,12.000000000,1778751617288731.000000000,1778751617280731.000000000,-0.035995774,-0.036276601,0.016299944,1.000000000,0.003810508,0.003815270,0.002907772
1778751617.368072,0.006273494,-0.001971578,0.000076786,0.000015213,0.000015167,0.000583388,1.000000000,1.022301912,0.031607721,-2.516658068,0.011339392,0.011341631,0.027101366,0.999999821,-0.000631109,0.000288828,0.000062108,0.000000000,12.000000000,1778751617300731.000000000,1778751617296731.000000000,-0.035851266,-0.036370352,0.016275106,1.000000000,0.003754286,0.003758721,0.002891728
